Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_184,VGND,li1,90.6200,87.0400,0.000026
FILLER_27_172,VGND,li1,87.4000,87.0400,0.000025
FILLER_27_165,VGND,li1,82.1100,87.0400,0.000023
FILLER_27_153,VGND,li1,78.6600,87.0400,0.000022
FILLER_27_141,VGND,li1,73.1400,87.0400,0.000020
FILLER_27_137,VGND,li1,69.2300,87.0400,0.000018
FILLER_27_125,VGND,li1,65.7800,87.0400,0.000017
FILLER_27_113,VGND,li1,60.2600,87.0400,0.000015
FILLER_27_109,VGND,li1,56.3500,87.0400,0.000014
FILLER_27_97,VGND,li1,52.9000,87.0400,0.000013
FILLER_27_85,VGND,li1,47.3800,87.0400,0.000011
FILLER_27_81,VGND,li1,43.4700,87.0400,0.000010
FILLER_27_69,VGND,li1,40.0200,87.0400,0.000009
FILLER_27_57,VGND,li1,34.5000,87.0400,0.000007
FILLER_27_53,VGND,li1,30.5900,87.0400,0.000005
FILLER_27_41,VGND,li1,27.1400,87.0400,0.000004
FILLER_27_29,VGND,li1,21.6200,87.0400,0.000004
FILLER_27_24,VGND,li1,16.7900,87.0400,0.000004
FILLER_27_12,VGND,li1,13.8000,87.0400,0.000004
FILLER_26_189,VGND,li1,92.6900,81.6000,0.000000
FILLER_26_177,VGND,li1,89.7000,81.6000,0.000000
FILLER_26_165,VGND,li1,84.1800,81.6000,0.000000
FILLER_26_153,VGND,li1,78.6600,81.6000,0.000000
FILLER_26_141,VGND,li1,73.1400,81.6000,0.000000
FILLER_26_139,VGND,li1,69.6900,81.6000,0.000000
FILLER_26_133,VGND,li1,68.0800,81.6000,0.000000
FILLER_26_121,VGND,li1,63.9400,81.6000,0.000000
FILLER_26_109,VGND,li1,58.4200,81.6000,0.000000
FILLER_26_97,VGND,li1,52.9000,81.6000,0.000000
FILLER_26_85,VGND,li1,47.3800,81.6000,0.000000
FILLER_26_83,VGND,li1,43.9300,81.6000,0.000000
FILLER_26_77,VGND,li1,42.3200,81.6000,0.000000
FILLER_26_65,VGND,li1,38.1800,81.6000,0.000000
FILLER_26_53,VGND,li1,32.6600,81.6000,0.000000
FILLER_26_41,VGND,li1,27.1400,81.6000,0.000000
FILLER_26_29,VGND,li1,21.6200,81.6000,0.000000
FILLER_26_27,VGND,li1,18.1700,81.6000,0.000000
FILLER_26_15,VGND,li1,15.1800,81.6000,0.000000
FILLER_26_3,VGND,li1,9.6600,81.6000,0.000000
FILLER_25_189,VGND,li1,92.6900,81.6000,0.000000
FILLER_25_181,VGND,li1,90.6200,81.6000,0.000000
FILLER_25_169,VGND,li1,86.0200,81.6000,0.000000
FILLER_25_167,VGND,li1,82.5700,81.6000,0.000000
FILLER_25_161,VGND,li1,80.9600,81.6000,0.000000
FILLER_25_149,VGND,li1,76.8200,81.6000,0.000000
FILLER_25_137,VGND,li1,71.3000,81.6000,0.000000
FILLER_25_125,VGND,li1,65.7800,81.6000,0.000000
FILLER_25_113,VGND,li1,60.2600,81.6000,0.000000
FILLER_25_111,VGND,li1,56.8100,81.6000,0.000000
FILLER_25_105,VGND,li1,55.2000,81.6000,0.000000
FILLER_25_93,VGND,li1,51.0600,81.6000,0.000000
FILLER_25_81,VGND,li1,45.5400,81.6000,0.000000
FILLER_25_69,VGND,li1,40.0200,81.6000,0.000000
FILLER_25_57,VGND,li1,34.5000,81.6000,0.000000
FILLER_25_55,VGND,li1,31.0500,81.6000,0.000000
FILLER_25_51,VGND,li1,29.9000,81.6000,0.000000
FILLER_25_39,VGND,li1,26.2200,81.6000,0.000000
FILLER_25_27,VGND,li1,20.7000,81.6000,0.000000
FILLER_25_15,VGND,li1,15.1800,81.6000,0.000000
FILLER_25_3,VGND,li1,9.6600,81.6000,0.000000
FILLER_24_189,VGND,li1,92.6900,76.1600,0.000009
FILLER_24_177,VGND,li1,89.7000,76.1600,0.000009
FILLER_24_165,VGND,li1,84.1800,76.1600,0.000009
FILLER_24_153,VGND,li1,78.6600,76.1600,0.000009
FILLER_24_141,VGND,li1,73.1400,76.1600,0.000009
FILLER_24_139,VGND,li1,69.6900,76.1600,0.000009
FILLER_24_133,VGND,li1,68.0800,76.1600,0.000009
FILLER_24_121,VGND,li1,63.9400,76.1600,0.000009
FILLER_24_109,VGND,li1,58.4200,76.1600,0.000009
FILLER_24_97,VGND,li1,52.9000,76.1600,0.000009
FILLER_24_85,VGND,li1,47.3800,76.1600,0.000009
FILLER_24_72,VGND,li1,41.4000,76.1600,0.000009
FILLER_24_65,VGND,li1,36.3400,76.1600,0.000009
FILLER_24_53,VGND,li1,32.6600,76.1600,0.000008
FILLER_24_41,VGND,li1,27.1400,76.1600,0.000006
FILLER_24_29,VGND,li1,21.6200,76.1600,0.000006
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000006
FILLER_24_23,VGND,li1,17.0200,76.1600,0.000007
FILLER_24_14,VGND,li1,12.1900,76.1600,0.000007
FILLER_24_6,VGND,li1,10.1200,76.1600,0.000007
FILLER_23_189,VGND,li1,92.6900,76.1600,0.000009
FILLER_23_181,VGND,li1,90.6200,76.1600,0.000009
FILLER_23_169,VGND,li1,86.0200,76.1600,0.000009
FILLER_23_167,VGND,li1,82.5700,76.1600,0.000009
FILLER_23_161,VGND,li1,80.9600,76.1600,0.000009
FILLER_23_149,VGND,li1,76.8200,76.1600,0.000009
FILLER_23_137,VGND,li1,71.3000,76.1600,0.000009
FILLER_23_125,VGND,li1,65.7800,76.1600,0.000009
FILLER_23_113,VGND,li1,60.2600,76.1600,0.000009
FILLER_23_104,VGND,li1,55.2000,76.1600,0.000009
FILLER_23_92,VGND,li1,50.6000,76.1600,0.000009
FILLER_23_80,VGND,li1,45.0800,76.1600,0.000009
FILLER_23_52,VGND,li1,30.3600,76.1600,0.000007
FILLER_23_32,VGND,li1,22.0800,76.1600,0.000006
FILLER_23_3,VGND,li1,8.2800,76.1600,0.000007
FILLER_22_189,VGND,li1,92.6900,70.7200,0.000011
FILLER_22_177,VGND,li1,89.7000,70.7200,0.000011
FILLER_22_165,VGND,li1,84.1800,70.7200,0.000011
