Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_184,VPWR,li1,90.8500,46.2400,1.799899
FILLER_13_180,VPWR,li1,88.5500,46.2400,1.799900
FILLER_13_172,VPWR,li1,86.4800,46.2400,1.799901
FILLER_13_166,VPWR,li1,82.3400,46.2400,1.799903
FILLER_13_158,VPWR,li1,80.0400,46.2400,1.799905
FILLER_13_154,VPWR,li1,76.5900,46.2400,1.799906
FILLER_13_150,VPWR,li1,75.4400,46.2400,1.799908
FILLER_13_138,VPWR,li1,69.4600,46.2400,1.799911
FILLER_13_128,VPWR,li1,64.6300,46.2400,1.799915
FILLER_13_113,VPWR,li1,58.1900,46.2400,1.799921
FILLER_13_106,VPWR,li1,55.6600,46.2400,1.799924
FILLER_13_101,VPWR,li1,52.4400,46.2400,1.799929
FILLER_13_85,VPWR,li1,45.0800,46.2400,1.799940
FILLER_13_80,VPWR,li1,42.5500,46.2400,1.799942
FILLER_13_76,VPWR,li1,40.7100,46.2400,1.799945
FILLER_13_63,VPWR,li1,34.7300,46.2400,1.799954
FILLER_13_57,VPWR,li1,33.1200,46.2400,1.799957
FILLER_13_54,VPWR,li1,30.8200,46.2400,1.799961
FILLER_13_49,VPWR,li1,28.5200,46.2400,1.799965
FILLER_13_41,VPWR,li1,26.2200,46.2400,1.799970
FILLER_13_37,VPWR,li1,22.7700,46.2400,1.799976
FILLER_13_29,VPWR,li1,20.7000,46.2400,1.799980
FILLER_13_23,VPWR,li1,16.5600,46.2400,1.799979
FILLER_13_15,VPWR,li1,14.2600,46.2400,1.799979
FILLER_13_6,VPWR,li1,9.6600,46.2400,1.799979
FILLER_12_184,VPWR,li1,90.6200,46.2400,1.799899
FILLER_12_172,VPWR,li1,87.4000,46.2400,1.799901
FILLER_12_160,VPWR,li1,81.8800,46.2400,1.799903
FILLER_12_112,VPWR,li1,57.2700,46.2400,1.799924
FILLER_12_101,VPWR,li1,52.4400,46.2400,1.799929
FILLER_12_80,VPWR,li1,42.5500,46.2400,1.799942
FILLER_12_59,VPWR,li1,32.8900,46.2400,1.799957
FILLER_12_53,VPWR,li1,31.2800,46.2400,1.799961
FILLER_12_41,VPWR,li1,27.1400,46.2400,1.799970
FILLER_12_29,VPWR,li1,21.6200,46.2400,1.799980
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.799979
FILLER_12_15,VPWR,li1,15.1800,46.2400,1.799979
FILLER_12_3,VPWR,li1,9.6600,46.2400,1.799979
FILLER_11_189,VPWR,li1,92.6900,40.8000,1.799951
FILLER_11_185,VPWR,li1,91.5400,40.8000,1.799951
FILLER_11_175,VPWR,li1,86.2500,40.8000,1.799952
FILLER_11_169,VPWR,li1,84.6400,40.8000,1.799952
FILLER_11_164,VPWR,li1,81.8800,40.8000,1.799952
FILLER_11_152,VPWR,li1,78.2000,40.8000,1.799953
FILLER_11_138,VPWR,li1,69.4600,40.8000,1.799954
FILLER_11_111,VPWR,li1,56.8100,40.8000,1.799959
FILLER_11_105,VPWR,li1,54.0500,40.8000,1.799960
FILLER_11_98,VPWR,li1,51.0600,40.8000,1.799962
FILLER_11_81,VPWR,li1,43.0100,40.8000,1.799970
FILLER_11_77,VPWR,li1,41.8600,40.8000,1.799970
FILLER_11_65,VPWR,li1,36.1100,40.8000,1.799975
FILLER_11_57,VPWR,li1,33.5800,40.8000,1.799979
FILLER_11_55,VPWR,li1,31.0500,40.8000,1.799981
FILLER_11_51,VPWR,li1,29.9000,40.8000,1.799981
FILLER_11_39,VPWR,li1,26.2200,40.8000,1.799985
