Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_97,VPWR,li1,50.6000,84.3200,1.799999
FILLER_27_89,VPWR,li1,48.3000,84.3200,1.799999
FILLER_27_85,VPWR,li1,44.8500,84.3200,1.799999
FILLER_27_80,VPWR,li1,43.2400,84.3200,1.799999
FILLER_27_65,VPWR,li1,36.1100,84.3200,1.800000
FILLER_27_57,VPWR,li1,33.5800,84.3200,1.800000
FILLER_27_53,VPWR,li1,30.5900,84.3200,1.800000
FILLER_27_41,VPWR,li1,27.1400,84.3200,1.800000
FILLER_27_29,VPWR,li1,21.6200,84.3200,1.800000
FILLER_27_27,VPWR,li1,18.1700,84.3200,1.800000
FILLER_27_19,VPWR,li1,16.1000,84.3200,1.800000
FILLER_27_7,VPWR,li1,11.5000,84.3200,1.800000
FILLER_26_93,VPWR,li1,48.5300,84.3200,1.799999
FILLER_26_85,VPWR,li1,46.4600,84.3200,1.799999
FILLER_26_80,VPWR,li1,43.2400,84.3200,1.799999
FILLER_26_70,VPWR,li1,38.4100,84.3200,1.799999
FILLER_26_47,VPWR,li1,27.3700,84.3200,1.800000
FILLER_26_41,VPWR,li1,25.7600,84.3200,1.800000
FILLER_26_29,VPWR,li1,21.6200,84.3200,1.800000
FILLER_26_27,VPWR,li1,18.1700,84.3200,1.800000
FILLER_26_15,VPWR,li1,15.1800,84.3200,1.800000
FILLER_26_3,VPWR,li1,9.6600,84.3200,1.800000
FILLER_25_77,VPWR,li1,41.4000,78.8800,1.799994
FILLER_25_45,VPWR,li1,26.6800,78.8800,1.799996
FILLER_25_35,VPWR,li1,22.0800,78.8800,1.799997
FILLER_25_27,VPWR,li1,19.7800,78.8800,1.799997
FILLER_25_15,VPWR,li1,15.1800,78.8800,1.799997
FILLER_25_3,VPWR,li1,9.6600,78.8800,1.799997
FILLER_24_100,VPWR,li1,52.2100,78.8800,1.799994
FILLER_24_29,VPWR,li1,19.7800,78.8800,1.799997
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.799997
FILLER_24_15,VPWR,li1,15.1800,78.8800,1.799997
FILLER_24_3,VPWR,li1,9.6600,78.8800,1.799997
FILLER_23_66,VPWR,li1,36.3400,73.4400,1.799995
FILLER_23_15,VPWR,li1,15.1800,73.4400,1.799997
FILLER_23_3,VPWR,li1,9.6600,73.4400,1.799997
FILLER_22_101,VPWR,li1,52.4400,73.4400,1.799994
FILLER_22_61,VPWR,li1,34.2700,73.4400,1.799995
FILLER_22_29,VPWR,li1,19.5500,73.4400,1.799997
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.799997
FILLER_22_15,VPWR,li1,15.1800,73.4400,1.799997
FILLER_22_3,VPWR,li1,9.6600,73.4400,1.799997
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799984
FILLER_21_15,VPWR,li1,13.3400,68.0000,1.799991
FILLER_21_3,VPWR,li1,9.6600,68.0000,1.799991
FILLER_20_102,VPWR,li1,52.6700,68.0000,1.799979
FILLER_20_29,VPWR,li1,19.3200,68.0000,1.799991
FILLER_20_15,VPWR,li1,13.3400,68.0000,1.799991
FILLER_20_3,VPWR,li1,9.6600,68.0000,1.799991
FILLER_19_101,VPWR,li1,52.4400,62.5600,1.799996
FILLER_19_73,VPWR,li1,39.7900,62.5600,1.799997
FILLER_19_52,VPWR,li1,30.3600,62.5600,1.799997
FILLER_19_23,VPWR,li1,16.3300,62.5600,1.799998
FILLER_19_19,VPWR,li1,15.1800,62.5600,1.799998
FILLER_19_7,VPWR,li1,11.5000,62.5600,1.799998
FILLER_18_97,VPWR,li1,51.5200,62.5600,1.799996
FILLER_18_85,VPWR,li1,47.3800,62.5600,1.799996
FILLER_18_80,VPWR,li1,43.2400,62.5600,1.799996
FILLER_18_58,VPWR,li1,32.8900,62.5600,1.799997
FILLER_18_29,VPWR,li1,19.0900,62.5600,1.799998
FILLER_18_19,VPWR,li1,14.4900,62.5600,1.799998
FILLER_18_15,VPWR,li1,13.3400,62.5600,1.799998
FILLER_18_3,VPWR,li1,9.6600,62.5600,1.799998
FILLER_17_98,VPWR,li1,50.8300,57.1200,1.799997
FILLER_17_92,VPWR,li1,49.2200,57.1200,1.799997
FILLER_17_80,VPWR,li1,45.0800,57.1200,1.799997
FILLER_17_57,VPWR,li1,31.9700,57.1200,1.799997
FILLER_17_27,VPWR,li1,18.1700,57.1200,1.799999
FILLER_17_15,VPWR,li1,15.1800,57.1200,1.799999
FILLER_17_3,VPWR,li1,9.6600,57.1200,1.799999
FILLER_16_97,VPWR,li1,51.5200,57.1200,1.799997
FILLER_16_85,VPWR,li1,47.3800,57.1200,1.799997
FILLER_16_78,VPWR,li1,42.7800,57.1200,1.799997
FILLER_16_29,VPWR,li1,20.2400,57.1200,1.799999
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.799999
FILLER_16_15,VPWR,li1,15.1800,57.1200,1.799999
FILLER_16_3,VPWR,li1,9.6600,57.1200,1.799999
FILLER_15_99,VPWR,li1,51.9800,51.6800,1.799991
FILLER_15_78,VPWR,li1,41.6300,51.6800,1.799991
FILLER_15_66,VPWR,li1,36.5700,51.6800,1.799991
FILLER_15_27,VPWR,li1,20.7000,51.6800,1.799996
FILLER_15_15,VPWR,li1,15.1800,51.6800,1.799996
FILLER_15_3,VPWR,li1,9.6600,51.6800,1.799996
FILLER_14_99,VPWR,li1,51.9800,51.6800,1.799991
FILLER_14_29,VPWR,li1,21.6200,51.6800,1.799996
FILLER_14_27,VPWR,li1,18.1700,51.6800,1.799996
FILLER_14_15,VPWR,li1,15.1800,51.6800,1.799996
FILLER_14_3,VPWR,li1,9.6600,51.6800,1.799996
FILLER_13_102,VPWR,li1,52.6700,46.2400,1.799994
FILLER_13_94,VPWR,li1,50.6000,46.2400,1.799994
FILLER_13_57,VPWR,li1,32.2000,46.2400,1.799995
FILLER_13_27,VPWR,li1,18.1700,46.2400,1.799997
FILLER_13_15,VPWR,li1,15.1800,46.2400,1.799997
FILLER_13_3,VPWR,li1,9.6600,46.2400,1.799997
FILLER_12_97,VPWR,li1,50.6000,46.2400,1.799994
FILLER_12_83,VPWR,li1,43.9300,46.2400,1.799994
FILLER_12_57,VPWR,li1,31.9700,46.2400,1.799995
FILLER_12_29,VPWR,li1,19.5500,46.2400,1.799997
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.799997
FILLER_12_15,VPWR,li1,15.1800,46.2400,1.799997
FILLER_12_3,VPWR,li1,9.6600,46.2400,1.799997
FILLER_11_99,VPWR,li1,51.9800,40.8000,1.799999
FILLER_11_21,VPWR,li1,15.4100,40.8000,1.799999
FILLER_11_15,VPWR,li1,13.8000,40.8000,1.799999
FILLER_11_3,VPWR,li1,9.6600,40.8000,1.799999
FILLER_10_101,VPWR,li1,52.4400,40.8000,1.799999
FILLER_10_93,VPWR,li1,50.1400,40.8000,1.799999
FILLER_10_82,VPWR,li1,43.7000,40.8000,1.799999
FILLER_10_34,VPWR,li1,21.3900,40.8000,1.799999
FILLER_10_19,VPWR,li1,14.4900,40.8000,1.799999
FILLER_10_7,VPWR,li1,11.5000,40.8000,1.799999
FILLER_9_102,VPWR,li1,52.6700,35.3600,1.799993
FILLER_9_94,VPWR,li1,50.6000,35.3600,1.799993
FILLER_9_52,VPWR,li1,30.3600,35.3600,1.799995
FILLER_9_23,VPWR,li1,16.3300,35.3600,1.799997
FILLER_9_15,VPWR,li1,14.2600,35.3600,1.799996
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799996
FILLER_8_93,VPWR,li1,49.6800,35.3600,1.799993
FILLER_8_82,VPWR,li1,43.7000,35.3600,1.799993
FILLER_8_69,VPWR,li1,37.7200,35.3600,1.799994
FILLER_8_38,VPWR,li1,23.2300,35.3600,1.799997
FILLER_8_29,VPWR,li1,19.5500,35.3600,1.799997
FILLER_8_7,VPWR,li1,8.9700,35.3600,1.799996
FILLER_8_3,VPWR,li1,7.8200,35.3600,1.799996
FILLER_7_91,VPWR,li1,50.1400,29.9200,1.799982
FILLER_7_57,VPWR,li1,33.1200,29.9200,1.799985
FILLER_7_21,VPWR,li1,15.4100,29.9200,1.799991
FILLER_7_15,VPWR,li1,13.8000,29.9200,1.799991
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.799991
FILLER_6_91,VPWR,li1,50.1400,29.9200,1.799982
FILLER_6_77,VPWR,li1,41.4000,29.9200,1.799982
FILLER_6_53,VPWR,li1,30.8200,29.9200,1.799987
FILLER_6_29,VPWR,li1,19.7800,29.9200,1.799991
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799991
FILLER_6_15,VPWR,li1,15.1800,29.9200,1.799991
FILLER_6_3,VPWR,li1,9.6600,29.9200,1.799991
FILLER_5_102,VPWR,li1,52.6700,24.4800,1.799994
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799996
FILLER_5_15,VPWR,li1,15.1800,24.4800,1.799998
FILLER_5_3,VPWR,li1,9.6600,24.4800,1.799998
FILLER_4_97,VPWR,li1,51.5200,24.4800,1.799994
FILLER_4_29,VPWR,li1,19.3200,24.4800,1.799998
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799998
FILLER_4_15,VPWR,li1,15.1800,24.4800,1.799998
FILLER_4_3,VPWR,li1,9.6600,24.4800,1.799998
FILLER_3_80,VPWR,li1,43.0100,19.0400,1.799997
FILLER_3_57,VPWR,li1,32.4300,19.0400,1.799997
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799998
FILLER_3_51,VPWR,li1,29.9000,19.0400,1.799998
FILLER_3_39,VPWR,li1,26.2200,19.0400,1.799998
FILLER_3_27,VPWR,li1,20.7000,19.0400,1.799999
FILLER_3_15,VPWR,li1,15.1800,19.0400,1.799999
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.799999
FILLER_2_97,VPWR,li1,50.6000,19.0400,1.799996
FILLER_2_85,VPWR,li1,47.3800,19.0400,1.799996
FILLER_2_83,VPWR,li1,43.9300,19.0400,1.799997
FILLER_2_77,VPWR,li1,42.3200,19.0400,1.799997
FILLER_2_65,VPWR,li1,38.1800,19.0400,1.799997
FILLER_2_53,VPWR,li1,32.6600,19.0400,1.799997
FILLER_2_41,VPWR,li1,27.1400,19.0400,1.799998
FILLER_2_29,VPWR,li1,21.6200,19.0400,1.799999
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799999
FILLER_2_15,VPWR,li1,15.1800,19.0400,1.799999
FILLER_2_3,VPWR,li1,9.6600,19.0400,1.799999
FILLER_1_81,VPWR,li1,43.2400,13.6000,1.800000
FILLER_1_69,VPWR,li1,40.0200,13.6000,1.800000
FILLER_1_57,VPWR,li1,34.5000,13.6000,1.800000
FILLER_1_55,VPWR,li1,31.0500,13.6000,1.800000
FILLER_1_43,VPWR,li1,28.0600,13.6000,1.800000
FILLER_1_31,VPWR,li1,22.5400,13.6000,1.800000
FILLER_1_19,VPWR,li1,17.0200,13.6000,1.800000
FILLER_1_7,VPWR,li1,11.5000,13.6000,1.800000
FILLER_0_97,VPWR,li1,50.6000,13.6000,1.800000
FILLER_0_89,VPWR,li1,48.3000,13.6000,1.800000
FILLER_0_85,VPWR,li1,44.8500,13.6000,1.800000
FILLER_0_81,VPWR,li1,43.4700,13.6000,1.800000
FILLER_0_69,VPWR,li1,40.0200,13.6000,1.800000
FILLER_0_57,VPWR,li1,34.5000,13.6000,1.800000
FILLER_0_53,VPWR,li1,30.5900,13.6000,1.800000
FILLER_0_41,VPWR,li1,27.1400,13.6000,1.800000
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.800000
FILLER_0_24,VPWR,li1,17.4800,13.6000,1.800000
FILLER_0_15,VPWR,li1,13.8000,13.6000,1.800000
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.800000
hold35,VPWR,li1,35.4200,62.5600,1.799997
hold34,VPWR,li1,46.4600,51.6800,1.799991
hold33,VPWR,li1,33.1200,24.4800,1.799996
hold32,VPWR,li1,50.6000,68.0000,1.799979
hold31,VPWR,li1,20.2400,57.1200,1.799999
hold30,VPWR,li1,26.2200,51.6800,1.799993
hold29,VPWR,li1,18.4000,62.5600,1.799998
hold28,VPWR,li1,24.3800,78.8800,1.799997
hold27,VPWR,li1,16.1000,68.0000,1.799991
hold26,VPWR,li1,16.5600,62.5600,1.799998
hold25,VPWR,li1,29.4400,51.6800,1.799992
hold24,VPWR,li1,19.7800,68.0000,1.799991
hold23,VPWR,li1,30.3600,62.5600,1.799997
hold22,VPWR,li1,28.9800,24.4800,1.799996
hold21,VPWR,li1,50.1400,73.4400,1.799994
hold20,VPWR,li1,16.5600,40.8000,1.799999
hold19,VPWR,li1,18.4000,35.3600,1.799997
hold18,VPWR,li1,37.7200,24.4800,1.799995
hold17,VPWR,li1,46.9200,35.3600,1.799993
hold16,VPWR,li1,36.3400,29.9200,1.799984
hold15,VPWR,li1,39.1000,51.6800,1.799991
hold14,VPWR,li1,21.1600,40.8000,1.799999
hold13,VPWR,li1,46.4600,73.4400,1.799994
hold12,VPWR,li1,49.2200,68.0000,1.799979
hold11,VPWR,li1,46.4600,35.3600,1.799993
hold10,VPWR,li1,20.2400,46.2400,1.799997
hold9,VPWR,li1,17.4800,40.8000,1.799999
hold8,VPWR,li1,36.3400,57.1200,1.799997
hold7,VPWR,li1,43.7000,46.2400,1.799994
hold6,VPWR,li1,46.4600,46.2400,1.799994
hold5,VPWR,li1,46.4600,40.8000,1.799999
hold4,VPWR,li1,40.9400,78.8800,1.799994
hold3,VPWR,li1,33.1200,84.3200,1.800000
hold2,VPWR,li1,29.4400,84.3200,1.800000
hold1,VPWR,li1,46.4600,24.4800,1.799994
clkload2,VPWR,li1,20.7000,68.0000,1.799991
clkload1,VPWR,li1,40.7100,35.3600,1.799993
clkload0,VPWR,li1,21.6200,35.3600,1.799997
clkbuf_2_3__f_clk,VPWR,li1,39.5600,68.0000,1.799979
clkbuf_2_2__f_clk,VPWR,li1,26.2200,68.0000,1.799986
clkbuf_2_1__f_clk,VPWR,li1,42.7800,29.9200,1.799982
clkbuf_2_0__f_clk,VPWR,li1,24.8400,29.9200,1.799989
clkbuf_0_clk,VPWR,li1,32.6600,51.6800,1.799991
_102__25,VPWR,li1,40.2500,24.4800,1.799995
fanout24,VPWR,li1,51.9800,78.8800,1.799994
fanout23,VPWR,li1,51.5200,73.4400,1.799994
fanout22,VPWR,li1,49.2200,46.2400,1.799994
fanout21,VPWR,li1,46.0000,29.9200,1.799982
fanout20,VPWR,li1,30.3600,29.9200,1.799987
fanout19,VPWR,li1,43.4700,78.8800,1.799994
fanout18,VPWR,li1,41.4000,57.1200,1.799997
fanout17,VPWR,li1,49.2200,24.4800,1.799994
fanout16,VPWR,li1,46.4600,46.2400,1.799994
output15,VPWR,li1,51.9800,84.3200,1.799999
output14,VPWR,li1,51.9800,84.3200,1.799999
output13,VPWR,li1,51.9800,68.0000,1.799979
output12,VPWR,li1,51.9800,57.1200,1.799997
output11,VPWR,li1,51.9800,46.2400,1.799994
output10,VPWR,li1,51.9800,35.3600,1.799993
output9,VPWR,li1,51.9800,19.0400,1.799996
output8,VPWR,li1,51.9800,13.6000,1.800000
input7,VPWR,li1,45.7700,13.6000,1.800000
input6,VPWR,li1,15.8700,13.6000,1.800000
input5,VPWR,li1,7.8200,84.3200,1.800000
input4,VPWR,li1,7.8200,62.5600,1.799998
input3,VPWR,li1,7.8200,40.8000,1.799999
input2,VPWR,li1,7.8200,13.6000,1.800000
input1,VPWR,li1,45.7700,84.3200,1.799999
TAP_TAPCELL_ROW_27_100,VPWR,li1,44.3900,84.6260,1.799999
TAP_TAPCELL_ROW_27_99,VPWR,li1,31.5100,84.6260,1.800000
TAP_TAPCELL_ROW_27_98,VPWR,li1,18.6300,84.6260,1.800000
TAP_TAPCELL_ROW_26_97,VPWR,li1,44.3900,84.0130,1.799999
TAP_TAPCELL_ROW_26_96,VPWR,li1,18.6300,84.0130,1.800000
TAP_TAPCELL_ROW_25_95,VPWR,li1,31.5100,79.1860,1.799995
TAP_TAPCELL_ROW_24_94,VPWR,li1,44.3900,78.5730,1.799994
TAP_TAPCELL_ROW_24_93,VPWR,li1,18.6300,78.5730,1.799997
TAP_TAPCELL_ROW_23_92,VPWR,li1,31.5100,73.7460,1.799995
TAP_TAPCELL_ROW_22_91,VPWR,li1,44.3900,73.1330,1.799994
TAP_TAPCELL_ROW_22_90,VPWR,li1,18.6300,73.1330,1.799997
TAP_TAPCELL_ROW_21_89,VPWR,li1,31.5100,68.3060,1.799984
TAP_TAPCELL_ROW_20_88,VPWR,li1,44.3900,67.6930,1.799979
TAP_TAPCELL_ROW_20_87,VPWR,li1,18.6300,67.6930,1.799991
TAP_TAPCELL_ROW_19_86,VPWR,li1,31.5100,62.8660,1.799997
TAP_TAPCELL_ROW_18_85,VPWR,li1,44.3900,62.2530,1.799996
TAP_TAPCELL_ROW_18_84,VPWR,li1,18.6300,62.2530,1.799998
TAP_TAPCELL_ROW_17_83,VPWR,li1,31.5100,57.4260,1.799997
TAP_TAPCELL_ROW_16_82,VPWR,li1,44.3900,56.8130,1.799997
TAP_TAPCELL_ROW_16_81,VPWR,li1,18.6300,56.8130,1.799999
TAP_TAPCELL_ROW_15_80,VPWR,li1,31.5100,51.9860,1.799991
TAP_TAPCELL_ROW_14_79,VPWR,li1,44.3900,51.3730,1.799991
TAP_TAPCELL_ROW_14_78,VPWR,li1,18.6300,51.3730,1.799996
TAP_TAPCELL_ROW_13_77,VPWR,li1,31.5100,46.5460,1.799995
TAP_TAPCELL_ROW_12_76,VPWR,li1,44.3900,45.9330,1.799994
TAP_TAPCELL_ROW_12_75,VPWR,li1,18.6300,45.9330,1.799997
TAP_TAPCELL_ROW_11_74,VPWR,li1,31.5100,41.1060,1.799999
TAP_TAPCELL_ROW_10_73,VPWR,li1,44.3900,40.4930,1.799999
TAP_TAPCELL_ROW_10_72,VPWR,li1,18.6300,40.4930,1.799999
TAP_TAPCELL_ROW_9_71,VPWR,li1,31.5100,35.6660,1.799995
TAP_TAPCELL_ROW_8_70,VPWR,li1,44.3900,35.0530,1.799993
TAP_TAPCELL_ROW_8_69,VPWR,li1,18.6300,35.0530,1.799997
TAP_TAPCELL_ROW_7_68,VPWR,li1,31.5100,30.2260,1.799987
TAP_TAPCELL_ROW_6_67,VPWR,li1,44.3900,29.6130,1.799982
TAP_TAPCELL_ROW_6_66,VPWR,li1,18.6300,29.6130,1.799991
TAP_TAPCELL_ROW_5_65,VPWR,li1,31.5100,24.7860,1.799996
TAP_TAPCELL_ROW_4_64,VPWR,li1,44.3900,24.1730,1.799994
TAP_TAPCELL_ROW_4_63,VPWR,li1,18.6300,24.1730,1.799998
TAP_TAPCELL_ROW_3_62,VPWR,li1,31.5100,19.3460,1.799998
TAP_TAPCELL_ROW_2_61,VPWR,li1,44.3900,18.7330,1.799996
TAP_TAPCELL_ROW_2_60,VPWR,li1,18.6300,18.7330,1.799999
TAP_TAPCELL_ROW_1_59,VPWR,li1,31.5100,13.9060,1.800000
TAP_TAPCELL_ROW_0_58,VPWR,li1,44.3900,13.2930,1.800000
TAP_TAPCELL_ROW_0_57,VPWR,li1,31.5100,13.2930,1.800000
TAP_TAPCELL_ROW_0_56,VPWR,li1,18.6300,13.2930,1.800000
PHY_EDGE_ROW_27_Left_55,VPWR,li1,6.2100,84.3200,1.800000
PHY_EDGE_ROW_26_Left_54,VPWR,li1,6.2100,84.3200,1.800000
PHY_EDGE_ROW_25_Left_53,VPWR,li1,6.2100,78.8800,1.799997
PHY_EDGE_ROW_24_Left_52,VPWR,li1,6.2100,78.8800,1.799997
PHY_EDGE_ROW_23_Left_51,VPWR,li1,6.2100,73.4400,1.799997
PHY_EDGE_ROW_22_Left_50,VPWR,li1,6.2100,73.4400,1.799997
PHY_EDGE_ROW_21_Left_49,VPWR,li1,6.2100,68.0000,1.799991
PHY_EDGE_ROW_20_Left_48,VPWR,li1,6.2100,68.0000,1.799991
PHY_EDGE_ROW_19_Left_47,VPWR,li1,6.2100,62.5600,1.799998
PHY_EDGE_ROW_18_Left_46,VPWR,li1,6.2100,62.5600,1.799998
